feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41
0.676748,tcp,-,FIN,16.0,12.0,912.0,694.0,254.0,252.0,10107.16016,7530.129395,5.0,4.0,42.741866,57.06991,2172.679196,68.92307,255.0,2051125703.0,4161684775.0,255.0,0.093603,0.048968,0.044635,57.0,58.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
1.164956,tcp,-,FIN,28.0,30.0,4192.0,3080.0,31.0,29.0,27764.13867,20450.55859,7.0,7.0,43.132518,40.146898,2546.536013,66.49032,255.0,2700652712.0,2904530500.0,255.0,0.000848,0.00069,0.000158,150.0,103.0,0.0,0.0,11.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0,0.0
3e-06,udp,dns,INT,2.0,0.0,114.0,0.0,254.0,0.0,152000000.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,33.0,2.0,33.0,33.0,16.0,33.0,0.0,0.0,0.0,33.0,33.0,0.0
1.414127,tcp,-,FIN,18.0,12.0,2202.0,678.0,254.0,252.0,11766.97754,3518.778809,4.0,4.0,83.183941,122.462906,4605.064688,167.3905,255.0,1895916496.0,1122617784.0,255.0,0.132919,0.06634,0.066579,122.0,57.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0
0.001076,udp,dns,CON,2.0,2.0,130.0,162.0,31.0,29.0,483271.3438,602230.4375,0.0,0.0,0.01,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,81.0,0.0,0.0,3.0,0.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,7.0,2.0,0.0
1.004333,tcp,pop3,FIN,24.0,52.0,1126.0,49480.0,62.0,252.0,8602.724609,386557.0313,7.0,24.0,43.666654,19.481941,2138.454671,1444.132034,255.0,1979642141.0,2047625387.0,255.0,0.056373,0.010058,0.046315,47.0,952.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
0.245766,tcp,-,FIN,10.0,6.0,620.0,268.0,254.0,252.0,18163.61914,7291.48877,2.0,1.0,24.205889,44.025,1219.529742,57.023863,255.0,671254916.0,4194661261.0,255.0,0.074415,0.02562,0.048795,62.0,45.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
3e-06,sctp,-,INT,2.0,0.0,152.0,0.0,254.0,0.0,202666656.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
1.84986,tcp,ftp,FIN,12.0,12.0,634.0,682.0,254.0,252.0,2516.947266,2707.231934,3.0,4.0,168.169094,154.129188,11844.83117,323.210094,255.0,1836057791.0,3682428359.0,255.0,0.176093,0.100083,0.07601,53.0,57.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
1.48716,tcp,-,FIN,18.0,14.0,9138.0,764.0,254.0,252.0,46429.4375,3819.360596,6.0,4.0,87.479997,100.197156,5239.586475,150.412609,255.0,2990848991.0,4277103416.0,255.0,0.267546,0.160029,0.107517,508.0,55.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0
