feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,label
3,12.057872,2,3,962.746645,0,4,1,2,0,3,2,49.488104,1,1,0,1,1.0,0,1,0
3,16.203355,4,3,1072.337139,1,2,2,3,0,1,3,28.22571,1,2,2,2,1.0,1,1,0
2,25.24199,3,1,662.096604,0,1,3,2,0,3,2,38.87019,1,0,1,2,1.0,0,1,0
0,12.029529,2,10,730.452473,0,2,2,1,0,0,1,37.068569,1,2,0,2,1.0,1,1,0
0,40.958259,2,10,1922.910227,2,2,3,1,0,1,1,24.496271,1,1,0,2,1.0,0,1,1
0,24.357299,2,0,739.304198,4,2,3,2,0,0,1,27.478989,1,1,0,2,2.0,1,1,0
1,19.88903,1,1,3048.161865,4,3,2,2,1,2,0,29.843866,0,0,0,2,2.0,1,1,0
0,25.750419,2,1,2251.024998,0,1,3,2,0,0,2,51.282147,1,1,0,1,1.0,1,1,0
0,17.255215,4,5,1376.635941,0,4,3,1,0,3,3,32.016119,0,2,1,2,1.0,0,1,0
1,25.140329,0,4,3950.259078,4,4,3,2,0,3,1,43.699567,1,1,0,2,2.0,1,1,0
3,7.74476,4,1,1838.765892,2,2,0,2,0,3,3,27.914633,1,2,2,1,1.0,0,1,0
3,31.742839,1,1,4167.354366,0,2,2,1,0,1,2,34.148602,0,0,0,2,1.0,1,1,0
1,17.24564,4,4,2076.80805,4,0,3,3,0,1,1,33.839212,1,1,0,0,1.0,0,1,0
2,17.774063,4,4,2229.607612,4,0,3,2,0,0,0,26.202848,1,1,1,0,1.0,0,1,0
0,41.204099,0,0,4101.816977,0,0,3,0,0,1,1,27.711269,0,1,1,2,1.0,0,1,1
3,19.568587,2,4,3765.976887,0,2,0,1,0,3,1,28.940833,1,1,0,2,1.0,0,1,0
0,21.585736,2,4,2373.376572,0,2,3,1,0,2,1,25.514589,1,0,0,2,1.0,0,1,1
3,12.245128,2,4,2079.334127,1,4,3,0,0,1,2,40.562976,1,1,0,2,1.0,0,1,0
1,5.188204,2,4,1626.787883,3,1,3,2,0,3,0,42.138591,2,0,0,2,2.0,1,1,0
0,44.543723,4,4,3145.155103,0,1,0,2,0,0,1,21.952475,1,1,0,1,1.0,0,0,0
3,8.440514,4,3,1591.918383,0,2,0,2,0,1,1,41.715358,0,1,0,2,2.0,0,1,0
0,11.709778,2,4,6714.322245,0,4,0,2,0,3,3,64.505442,1,1,0,2,2.0,1,1,0
0,11.748962,2,10,740.382307,0,3,3,1,0,3,1,22.064331,1,1,0,2,1.0,0,1,1
0,23.870504,1,10,3350.724634,0,1,1,1,1,1,2,27.031033,0,1,0,2,1.0,1,1,0
3,23.508864,4,0,2011.645693,0,2,1,1,2,3,0,26.337408,1,1,1,2,1.0,1,1,0
0,12.081687,2,3,1016.49449,0,4,3,1,0,3,1,60.29366,0,1,0,2,1.0,1,1,0
0,4.923432,4,7,1416.869583,1,4,2,2,0,3,1,63.232092,1,1,0,2,1.0,0,1,1
1,10.825853,0,4,827.323761,1,2,3,2,0,2,2,45.279428,1,1,1,2,1.0,1,1,1
3,7.699241,2,7,1663.569147,1,1,1,1,0,1,2,27.50042,1,1,0,2,1.0,0,1,0
0,20.128251,0,4,2247.940684,2,2,3,2,2,2,1,23.393235,1,1,1,1,1.0,0,1,0
3,35.208261,2,0,3389.571415,4,2,1,2,0,0,3,35.025465,1,1,0,1,1.0,0,1,0
0,24.319561,1,1,4388.359381,0,0,3,1,0,1,0,53.613141,1,0,0,3,1.0,1,1,0
0,37.689254,1,4,2638.749715,0,4,3,1,0,3,3,57.214287,0,2,0,2,1.0,0,1,0
3,12.295374,2,1,2247.506335,0,2,3,2,0,3,0,29.067938,1,1,0,2,2.0,0,1,0
3,35.901411,3,7,5441.452923,1,2,1,2,0,1,3,33.255866,1,2,1,2,1.0,1,1,0
1,11.798482,2,0,918.277252,0,1,3,1,0,2,1,29.1587,1,1,0,2,1.0,0,1,1
0,24.634131,2,3,7917.886277,0,1,3,2,0,3,2,31.154864,1,1,0,2,1.0,1,1,0
3,8.756892,2,10,861.776565,2,2,3,1,0,1,0,28.969986,2,1,1,2,1.0,1,1,0
0,15.688634,4,4,2183.317372,4,3,0,2,0,1,3,41.933809,1,2,0,2,1.0,1,1,0
0,23.641785,3,0,2329.131691,0,2,1,3,0,3,3,27.214081,1,0,0,2,1.0,0,1,0
0,15.832778,2,4,2670.486337,4,2,3,2,0,1,2,22.189833,1,1,0,3,1.0,1,1,0
3,23.137184,2,1,1424.063359,2,2,3,2,2,0,0,37.370538,1,0,0,2,1.0,0,1,0
3,19.866581,3,4,2221.825398,0,2,0,2,0,1,1,36.472656,1,1,0,1,1.0,1,1,0
1,20.489242,2,0,4561.566068,3,2,3,1,0,2,0,19.582663,0,1,0,1,1.0,0,1,0
3,6.475612,2,4,1653.472321,1,2,3,2,0,1,0,27.700897,1,1,0,1,1.0,0,1,0
3,66.381859,2,3,12629.83636,4,3,3,3,2,0,1,34.663288,1,1,0,1,1.0,0,1,1
3,19.376718,4,10,11803.2714,0,4,1,2,0,1,1,35.683968,1,1,0,2,1.0,1,1,0
3,16.877716,2,3,2867.772772,4,2,0,2,0,3,0,40.897095,1,0,0,3,1.0,1,1,0
3,15.947519,2,3,1504.375286,4,3,3,2,1,3,2,40.312235,1,1,0,2,2.0,0,1,0
1,10.505408,2,3,3532.454282,2,2,0,2,0,1,2,28.139341,1,0,0,1,1.0,0,1,0
2,10.631699,2,3,2536.697983,0,3,2,3,0,3,3,21.603195,1,1,0,2,1.0,1,1,0
3,14.823385,4,3,10731.490381,0,0,2,2,2,0,1,38.711931,1,1,2,2,2.0,1,1,1
3,11.790533,0,0,914.768186,1,4,3,1,0,3,0,24.314068,0,1,1,2,1.0,0,1,0
1,23.200348,2,0,1523.509203,0,4,3,2,0,2,1,49.051384,1,0,0,2,1.0,0,1,0
3,8.313048,4,10,2217.495769,4,2,1,2,0,1,1,28.39476,1,1,1,1,1.0,0,1,0
3,19.265707,2,4,1526.82508,4,0,2,1,0,3,0,51.697116,1,1,0,3,1.0,0,1,1
0,32.785665,2,0,7260.196939,4,1,2,2,0,0,0,29.482124,1,1,0,2,1.0,0,1,1
3,6.521772,3,4,977.900033,3,2,3,2,0,1,0,31.889911,1,0,0,2,1.0,0,1,0
3,24.531922,4,0,4365.154946,1,3,3,2,0,0,1,54.209981,1,1,1,1,2.0,1,1,0
3,10.178331,4,0,1658.565229,4,2,1,1,0,1,3,28.327222,1,2,0,1,1.0,0,1,0
3,8.496255,2,0,2737.100458,1,0,0,1,0,3,3,59.133673,1,2,1,3,1.0,1,1,1
2,20.535712,4,5,1010.672201,4,0,3,0,0,1,3,31.698,1,2,1,0,1.0,0,0,0
0,20.062009,2,1,3662.784656,0,2,0,1,0,1,0,47.670506,1,1,0,0,1.0,0,1,0
0,29.90982,2,4,2768.467678,0,4,3,2,2,3,0,49.21667,1,0,0,2,1.0,0,0,0
0,18.584036,1,0,2691.128317,0,3,2,1,0,1,3,41.659869,0,2,0,2,1.0,1,1,1
2,36.415649,4,3,2570.757896,2,4,3,1,0,3,3,63.361518,1,2,1,2,1.0,0,1,0
1,43.54957,4,0,3309.291638,4,2,3,0,0,1,2,66.616207,0,1,0,2,1.0,0,1,1
3,6.935539,2,4,332.099367,4,3,2,2,0,3,2,45.082661,1,1,0,2,1.0,1,1,0
2,24.326334,2,4,577.864704,1,2,3,2,0,3,0,26.278838,1,1,0,1,2.0,1,1,1
0,15.793045,1,1,5317.421974,0,4,0,0,0,3,3,34.195333,1,1,1,2,1.0,0,1,0
3,43.270715,2,4,8781.208591,2,2,2,2,0,0,1,30.893138,1,1,0,1,2.0,0,1,1
1,12.088811,4,7,817.676347,0,1,3,2,0,2,3,42.44239,1,2,1,2,1.0,0,1,1
1,13.668998,2,7,1177.836566,1,4,3,3,0,3,1,53.824313,1,1,0,2,1.0,0,1,0
1,20.693973,2,1,1552.112734,1,3,1,3,0,3,2,35.854738,1,1,0,2,1.0,0,1,0
0,17.487376,2,0,2149.561399,0,2,3,2,1,1,0,21.347544,1,1,0,1,2.0,0,1,0
1,36.543499,2,0,10780.496688,0,2,3,2,0,2,1,29.895218,1,0,0,2,2.0,1,1,1
0,4.080131,2,0,4051.991558,4,2,0,3,0,1,3,43.148167,1,1,0,2,1.0,0,1,1
3,18.271691,2,0,3908.655288,2,2,0,2,0,1,1,40.259506,1,1,0,3,1.0,1,1,0
0,7.382817,2,4,6907.091796,4,2,1,1,0,3,3,22.941863,1,2,0,2,1.0,1,1,0
0,14.572157,3,0,2936.171093,0,3,1,2,1,1,1,26.558948,2,1,0,1,1.0,0,1,1
3,12.311434,4,0,1693.839692,0,4,2,2,1,2,1,46.822822,1,1,1,1,1.0,0,1,0
1,12.281233,2,4,2266.823074,1,4,2,2,0,3,0,38.776288,0,0,0,2,1.0,1,1,0
1,12.517679,4,3,1015.683114,0,2,2,2,0,1,3,30.920585,1,0,1,2,2.0,0,1,0
0,8.929808,2,4,1841.258865,0,4,2,2,0,1,0,41.826424,1,0,0,3,2.0,1,1,0
3,28.604758,2,4,1433.936141,2,3,3,2,0,2,2,56.174764,1,0,0,3,1.0,0,1,0
1,23.842693,2,0,3721.357781,0,1,3,2,0,1,2,34.122656,0,1,0,2,1.0,1,1,1
1,17.214177,2,3,1230.559866,1,2,3,2,0,1,1,37.340279,1,0,0,1,2.0,0,1,1
