feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,is_drift,batch_id,label_model,prob
V1,18.054387,V2,V0,1389.600063,V1,V3,4.0,V1,V0,3.0,V0,44.085953,,V1,1.0,V2,1.0,unknown,yes,1,1,0,0.7374298572540283
V2,7.767031,V3,V3,1119.57678,V4,V2,2.0,V2,V0,1.0,V1,32.086565,none,V1,1.0,V2,1.0,unknown,yes,1,1,0,0.9969959855079651
V3,25.093746,V3,V0,2396.608475,V0,V2,4.0,V2,V1,4.0,V0,27.675148,none,V1,2.0,V0,1.0,none,yes,1,1,0,0.8454539179801941
V3,8.477039,V2,V3,6698.35333,V0,V3,2.0,V2,V0,4.0,V2,26.830078,none,,2.0,V2,1.0,none,yes,1,1,0,0.9253655672073364
V3,38.072605,V3,V3,1620.763377,V0,V4,4.0,V1,V0,4.0,V1,22.69245,none,,2.0,V2,1.0,none,yes,1,1,0,0.8269675970077515
V0,16.920196,V4,V2,2136.224078,V0,V4,3.0,V2,V2,4.0,V1,53.777811,bank,V1,3.0,V3,1.0,unknown,yes,1,1,0,0.5036535859107971
V0,14.33444,V4,V0,730.048549,V0,V3,4.0,V0,V2,3.0,V1,60.969994,,V1,2.0,V2,1.0,none,yes,1,1,1,0.7639427781105042
V3,8.113212,V2,V1,1470.509641,V0,V2,4.0,V0,V0,4.0,V2,29.958456,none,V1,1.0,V2,1.0,none,yes,1,1,0,0.8769006133079529
V0,12.390719,V2,V2,1702.420675,V0,V3,4.0,V1,V0,3.0,V3,29.970327,none,V2,1.0,V2,1.0,none,yes,1,1,0,0.537726104259491
V0,14.154354,V4,V1,2074.123502,V4,V2,3.0,V2,V0,2.0,V2,29.633123,none,V1,2.0,V1,1.0,unknown,yes,1,1,0,0.9798425436019897
V1,41.27586,V2,V0,10159.373506,V0,V2,2.0,V1,V0,4.0,V3,50.048619,none,,1.0,V2,1.0,none,yes,1,1,1,0.8925235271453857
V3,12.127395,V2,V1,573.247148,V2,,4.0,V2,V0,4.0,V0,27.667279,none,V1,1.0,V2,1.0,none,yes,1,1,0,0.9714871048927307
V0,16.808526,V2,V2,1603.222124,V0,V4,4.0,V2,V0,4.0,V2,32.292447,none,V1,1.0,V2,1.0,yes,yes,1,1,0,0.6183986663818359
V3,9.70641,V4,V6,1089.71183,V1,V2,4.0,V2,V0,4.0,V2,34.083913,none,V1,2.0,V2,1.0,none,yes,1,1,0,0.936419665813446
V0,8.651742,V3,V0,1191.672397,V1,V1,4.0,V2,V0,4.0,V1,34.472586,bank,,1.0,V3,1.0,unknown,yes,1,1,1,0.5564308762550354
V1,11.878483,V2,V0,3077.099503,V3,V3,1.0,V1,V0,2.0,V1,40.821101,none,V0,2.0,V2,1.0,none,no,1,1,0,0.9593369364738464
V3,24.235814,V2,V3,1076.533416,V0,V2,3.0,V2,V0,4.0,V1,28.271626,none,V0,1.0,V1,1.0,none,yes,1,1,0,0.8797842860221863
V3,35.926519,V2,V0,7773.914301,V0,V3,4.0,V1,V0,3.0,V2,43.79728,none,V1,1.0,V3,1.0,yes,yes,1,1,0,0.9487048387527466
V1,33.205741,V4,V3,8502.689048,V0,V1,3.0,V2,V0,2.0,V2,29.923525,none,V1,2.0,V2,1.0,yes,yes,1,1,0,0.6497702598571777
V1,16.742965,V2,V2,6573.853481,V4,V1,2.0,V2,V0,1.0,V1,27.766373,none,V1,1.0,V3,2.0,none,yes,1,1,0,0.7739724516868591
V3,7.971852,V4,V0,1823.067442,V4,V4,4.0,V2,V0,2.0,V2,37.95074,none,V1,2.0,V3,1.0,yes,yes,1,1,0,0.9852883815765381
V1,19.713777,V2,V6,1819.304803,V4,V2,3.0,V1,V0,4.0,V3,19.769518,none,,2.0,V1,1.0,none,yes,1,1,1,0.9239162802696228
V1,41.641703,V2,V0,8700.248429,V4,V4,2.0,V3,V0,4.0,V2,32.746083,,,1.0,V2,1.0,unknown,yes,1,1,0,0.7658240795135498
V3,23.995604,V2,V0,2279.595966,V4,,4.0,V3,V0,3.0,V1,23.346191,none,V1,2.0,V1,1.0,none,yes,1,1,0,0.9347103238105774
V3,35.097474,V4,V2,11907.658608,V0,V0,2.0,V3,V0,4.0,V2,22.774744,none,V1,2.0,V2,1.0,unknown,yes,1,1,0,0.9482536911964417
V3,11.880465,V1,V6,996.139465,V1,V4,4.0,V2,V0,2.0,V0,30.601443,stores,V1,1.0,V2,1.0,none,yes,1,1,0,0.8515686988830566
V3,8.675085,V2,V2,1684.409151,V0,V2,4.0,V2,V0,2.0,V0,35.979766,none,V0,1.0,V2,2.0,yes,yes,1,1,0,0.9755576252937317
V1,15.292315,V1,V6,988.775451,V0,V2,3.0,V2,V0,4.0,V2,37.082507,bank,V1,1.0,V2,2.0,none,yes,1,1,1,0.9675410389900208
V3,11.444912,V4,V2,901.91438,V4,,1.0,V2,V0,4.0,V0,33.9783,none,V1,2.0,V2,1.0,none,yes,1,1,0,0.9845245480537415
V1,25.610318,V4,V2,1749.583074,V1,V2,4.0,V1,V0,4.0,V1,25.161386,none,V1,2.0,V2,1.0,none,yes,1,1,0,0.5489856004714966
V0,5.342333,V3,V2,847.333528,V4,V4,4.0,V2,V2,4.0,V0,68.345124,,V1,1.0,V2,2.0,unknown,yes,1,1,0,0.8536696434020996
V0,5.552637,V4,V2,2241.50966,V0,V2,4.0,V2,V0,2.0,V2,31.08791,none,V1,2.0,V2,2.0,yes,yes,1,1,0,0.9819357991218567
V3,25.902116,V4,V1,1488.873591,V3,V4,4.0,V1,V0,3.0,V1,55.36475,none,V0,2.0,V2,1.0,none,yes,1,1,0,0.9857132434844971
V3,18.208753,V4,V3,3649.937695,V4,V4,3.0,V2,V0,4.0,V0,54.668624,none,V1,2.0,V2,1.0,yes,yes,1,1,0,0.9952718615531921
V3,20.481709,V1,V3,1207.314647,V4,V1,4.0,V2,V0,3.0,V0,26.811584,,V1,1.0,V2,1.0,yes,yes,1,1,0,0.9503189325332642
V3,18.784191,V4,V1,1194.639497,V0,V4,4.0,V2,V0,4.0,V0,65.186344,none,V1,1.0,V2,1.0,none,no,1,1,0,0.998192310333252
