feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,label_model,prob
0.760837,tcp,,FIN,20.0,20.0,3846.0,1734.0,62.0,252.0,38420.84375,17328.2832,7.0,8.0,40.044052,39.451211,1962.319286,47.293133,255.0,3445546265.0,2176616303.0,255.0,0.051305,0.00702,0.044285,192.0,87.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0.9998102729069596
1.789735,tcp,ftp-data,FIN,8.0,8.0,364.0,920.0,62.0,252.0,1425.909424,3598.298096,1.0,2.0,255.676437,244.144859,18079.95337,497.502063,255.0,2408760350.0,4112950562.0,255.0,0.182672,0.07993,0.102742,46.0,115.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0.9991856365662868
2.791708,tcp,-,FIN,10.0,8.0,1646.0,354.0,254.0,252.0,4246.862305,888.345032,2.0,1.0,310.189778,387.267562,22311.59305,854.650688,255.0,282509921.0,2425093536.0,255.0,0.211956,0.080242,0.131714,165.0,44.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.5608705913766007
0.675752,tcp,-,FIN,10.0,8.0,970.0,354.0,254.0,252.0,10335.15234,3669.985596,2.0,1.0,75.033667,85.103859,4378.583586,159.007359,255.0,1780743446.0,734364909.0,255.0,0.153582,0.080019,0.073563,97.0,44.0,0.0,0.0,7.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0,0.599564627564809
3.40145,tcp,-,FIN,92.0,34.0,94127.0,2280.0,62.0,252.0,218974.8594,5204.839355,42.0,8.0,37.378571,100.873609,3595.742132,137.448297,255.0,1684672012.0,3024961162.0,255.0,0.125446,0.071757,0.053689,1023.0,67.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1,0.9997338837728555
1.148911,tcp,-,FIN,10.0,8.0,564.0,354.0,254.0,252.0,3537.262695,2158.565918,2.0,1.0,122.486667,155.659,8079.664899,220.350172,255.0,3360684291.0,3433984334.0,255.0,0.122264,0.059294,0.06297,56.0,44.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1,0.9980131053251224
0.401987,tcp,http,FIN,10.0,6.0,954.0,268.0,254.0,252.0,17095.08008,4457.855957,2.0,1.0,41.489667,65.592797,2191.217383,96.725609,255.0,1032048088.0,160909877.0,255.0,0.103506,0.074017,0.029489,95.0,45.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1,0.9979553195358782
1e-06,udp,-,INT,2.0,0.0,104.0,0.0,254.0,0.0,416000000.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,8.0,3.0,0.0,0,0.6236932118776994
33.829559,,,unknown,28.0,30.0,4256.0,3080.0,31.0,29.0,970.512207,704.236206,7.0,7.0,1252.934611,1166.517375,141085.4562,4158.59875,255.0,361938669.0,365040092.0,255.0,0.000711,0.000546,0.000165,152.0,103.0,0.0,0.0,11.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,13.0,5.0,0.0,0,0.9991204556777196
1.013306,tcp,-,FIN,10.0,8.0,892.0,354.0,254.0,252.0,6339.644531,2447.434326,2.0,1.0,112.589556,140.176,7768.32677,203.459266,255.0,3220964523.0,2964473665.0,255.0,0.067743,0.031348,0.036395,89.0,44.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,0.0,1,0.8234973317042267
