iter	MultiClass
0	1.518059354
1	1.358964339
2	1.231866984
3	1.126634545
4	1.042532558
5	0.9792978972
6	0.9228817479
7	0.8748933274
8	0.8354531074
9	0.7978810712
10	0.7678403285
11	0.7406808497
12	0.7179482721
13	0.6947158934
14	0.6742307011
15	0.6565041214
16	0.6414162682
17	0.6267536635
18	0.6138053054
19	0.6028276391
20	0.5908843111
21	0.5809512897
22	0.5718748249
23	0.5635658574
24	0.5563238245
25	0.5479467008
26	0.5429044988
27	0.5367690961228	0.5307980603
29	0.525429112
30	0.521920808
31	0.5170941839
32	0.5140891925
33	0.5088370749
34	0.5055584726
35	0.5024511783
36	0.4985660419
37	0.4938835861
38	0.490378814
39	0.487711979
40	0.4853200884
41	0.482908718
42	0.4802278549
43	0.4778817598
44	0.4758856293
45	0.4735723762
46	0.4722784194
47	0.470764248
48	0.4695458005
49	0.4678555396
50	0.4660661822
51	0.4644962487
52	0.4625953054
53	0.4612116312
54	0.4605819213
55	0.4591069896
56	0.458379955
57	0.4576623204
58	0.4570172204
59	0.4553769415
60	0.4551089773
61	0.4542326327
62	0.453194119
63	0.4519558183
64	0.4509739364
65	0.4496041881
66	0.4491863828
67	0.4486000035
68	0.4476163467
69	0.4465464336
70	0.4462959542
71	0.44558314
72	0.4447953103
73	0.4444559836
74	0.4441222206
75	0.4438520255
76	0.4435154736
77	0.4432808205
78	0.4428884573
79	0.442555239
80	0.4419230117
81	0.4410417056
82	0.4404174422
83	0.439882757
84	0.438584217
85	0.4382294635
86	0.4377892056
87	0.4375032629
88	0.4369587977
89	0.435798291
90	0.4354302816
91	0.4348788935
92	0.4344002568
93	0.4339249526
94	0.4334255436
95	0.4328874814
96	0.4326620341
97	0.4323469411
98	0.4322122092
99	0.4316659009
100	0.4312246218
101	0.4310968313
102	0.4305796952
103	0.4302538399
104	0.4298004272
105	0.4295696393
106	0.4292786088
107	0.4288416766
108	0.428549492
109	0.4276991013
110	0.4272923262
111	0.4265838776
112	0.4264603433
113	0.4260313421
114	0.4257845457
115	0.4255242832
116	0.4250447324
117	0.4246907028
118	0.424389183
119	0.4237720162
120	0.4232587683
121	0.4229778473
122	0.4227727405
123	0.4222315075
124	0.4215740915
125	0.4212757372
126	0.4206222326
127	0.4201828698
128	0.4198432065
129	0.4193476875
130	0.4188567952
131	0.4185779824
132	0.4180992539
133	0.4178935635
134	0.4176207364
135	0.4173549748
136	0.4167345134
137	0.4165143901
138	0.4163008598
139	0.4160699096
140	0.415748305
141	0.415466379
142	0.4150567831
143	0.4145714356
144	0.4142806764
145	0.4140273518
146	0.4136360087
147	0.4129655629
148	0.4127543237
149	0.4125364208
150	0.4123117948
151	0.4120616317
152	0.4117057206
153	0.4114827094
154	0.4113542888
155	0.4109745402
156	0.4107570467
157	0.4104092749
158	0.4102684002
159	0.4098973767
160	0.4097143705
161	0.4096089815
162	0.4094168385
163	0.4093204838
164	0.4086494807
165	0.4081699511
166	0.4080380379
167	0.4078823988
168	0.4077442537
169	0.4075510837
170	0.4070982449
171	0.4069155514
172	0.4067885878
173	0.4065954958
174	0.4062706906
175	0.4059767065
176	0.4058412568
177	0.405610925
178	0.4054191756
179	0.4051776615
180	0.4046334634
181	0.4042256211
182	0.4039239129
183	0.4037361653
184	0.4034397375
185	0.4032319563
186	0.403099969
187	0.4028296684
188	0.4024976731
189	0.4020468762
190	0.4019256603
191	0.4015337142
192	0.401295329
193	0.4011228021
194	0.4008881002
195	0.4003161302
196	0.4000376294
197	0.3998282453
198	0.399487179
199	0.3993615572
200	0.3992268136
201	0.3986136077
202	0.3984987149
203	0.3983255442
204	0.3981836986
205	0.3980400067
206	0.3979032063
207	0.3977634508
208	0.3974449436
209	0.397347849
210	0.3971567612
211	0.3968987295
212	0.3966779044
213	0.3965984111
214	0.3963444768
215	0.3961581293
216	0.3960652852
217	0.3957026414
218	0.3952109182
219	0.3950606099
220	0.3948727964
221	0.3945965901
222	0.3944023452
223	0.3940105451
224	0.393931119
225	0.3938403064
226	0.3936046356
227	0.3934137274
228	0.3932286875
229	0.3931345198
230	0.392944981
231	0.3928498636
232	0.3927166272
233	0.3925910545
234	0.392413105
235	0.392329608
236	0.3921877092
237	0.3920604649
238	0.3920110753
239	0.3918963336
240	0.3918116582
241	0.3915334377
242	0.3913727501
243	0.3913181714
244	0.391108914
245	0.391055124
246	0.3909750623
247	0.3907354135
248	0.3905540467
249	0.3903014802
250	0.3901485266
251	0.3899985954
252	0.3896994649
253	0.3896095885
254	0.3893164728
255	0.3890533455
256	0.3887470614
257	0.3886554311
258	0.3885633106
259	0.3884592008
260	0.3881627141
261	0.3879870065
262	0.3878365206
263	0.3875894755
264	0.3873789145
265	0.3872750395
266	0.387111253
267	0.386953213
268	0.3868524595
269	0.3866281571
270	0.3862703014
271	0.3861695519
272	0.3858940574
273	0.3856351844
274	0.3855733558
275	0.3854862495
276	0.3852546512
277	0.3851418909
278	0.385035466
279	0.3847488752
280	0.3846298738
281	0.3845957401
282	0.3844355015
283	0.384233269
284	0.3841586027
285	0.3840246536
286	0.3838622471
287	0.3837059504
288	0.3835627374
289	0.3834820362
290	0.3833546498
291	0.3831569546
292	0.3829354975
293	0.3828089556
294	0.3826190658
295	0.3825441128
296	0.3824185301
297	0.3822416362
298	0.3821538463
299	0.3821143757
300	0.3819860682
301	0.3817775369
302	0.3816805223
303	0.3814989544
304	0.381207311
305	0.3811009346
306	0.3810517123
307	0.3807908993
308	0.380656688
309	0.3805885942
310	0.3804229037
311	0.3802109516
312	0.3801349583
313	0.3800648322
314	0.3799605234
315	0.379864854
316	0.3797893626
317	0.3796066338
318	0.3794017446
319	0.3792879
320	0.3792324597
321	0.3791304395
322	0.3790529773
323	0.3789171852
324	0.3788075511
325	0.3787092989
326	0.3785845166
327	0.3783888697
328	0.3782843693
329	0.3781139008
330	0.3780550778
331	0.3779463547
