iter	Passed	Remaining
0	373	373076
1	840	419472
2	1373	456389
3	1610	401130
4	1940	386127
5	2103	348515
6	2554	362421
7	2758	342077
8	2977	327900
9	3213	318159
10	3637	327012
11	4114	338720
12	4212	319831
13	4598	323860
14	4885	320832
15	5173	318197
16	5454	315373
17	5594	305209
18	5895	304385
19	6265	306993
20	6459	301112
21	6649	295598
22	6815	289508
23	7234	294187
24	7360	287046
25	7648	286520
26	7869	283586
27	8148	282871
28	8413	281714
29	8579	277395330	8716	272463331	9077	274606332	9559	280124333	9899	281263
34	10397	286662
35	10580	283325
36	10813	281432
37	11249	284780
38	11438	281857
39	11617	278824
40	11939	279266
41	12370	282156
42	12546	279226
43	13016	282813
44	13375	283864
45	13493	279835
46	13682	277437
47	13890	275502
48	14167	274959
49	14460	274749
50	14886	277000
51	15304	279008
52	15531	277520
53	15729	275565
54	16021	275285
55	16317	275059
56	16624	275032
57	16985	275860
58	17227	274760
59	17553	275009
60	17700	272464
61	17875	270438
62	18242	271322
63	18667	273008
64	18927	272264
65	19505	276028
66	19677	274014
67	19813	271565
68	20062	270701
69	20393	270942
70	20635	270003
71	20861	268877
72	21115	268137
73	21347	267137
74	21671	267276
75	21949	266857
76	22287	267158
77	22570	266793
78	22961	267685
79	23153	266268
80	23253	263830
81	23567	263841
82	23733	262207
83	23808	259622
84	24013	258501
85	24247	257701
86	24450	256593
87	24721	256206
88	25153	257468
89	25419	257019
90	25618	255905
91	25939	256011
92	26319	256687
93	26596	256344
94	26667	254047
95	26709	251517
96	27150	252751
97	27520	253302
98	27851	253474
99	28001	252016
100	28276	251688
101	28471	250663
102	28509	248278
103	28546	245943
104	28650	244209
105	28887	243633
106	29125	243077
107	29350	242415
108	29601	241972
109	29889	241835
110	29983	240140
111	30263	239944
112	30425	238826
113	30474	236844
114	30659	235945
115	30810	234793
116	30960	233661
117	31152	232848
118	31395	232434
119	31746	232807
120	32070	232975
121	32305	232495
122	32596	232417
123	32914	232525
124	33154	232079
125	33345	231300
126	33640	231248
127	34006	231668
128	34278	231446
129	34647	231871
130	34885	231417
131	35242	231744
132	35391	230711
133	35626	230241
134	35668	228541
135	35920	228203
136	36273	228496
137	36535	228216
138	36936	228795
139	37123	228047
140	37443	228114
141	37815	228491
142	38052	228048
143	38299	227671
144	38639	227841
145	38991	228071
146	39409	228683
